// FOR REFERENCE PURPOSES ONLY
// Start sequence
S1: "After a long week of work, you decide a weekend camping at the mountains alone would be a good activity."
S1_2: "Suddenly, your car stops."
S1_3: "Oh great, not again. Your car has broken down for the third time this month."
S1_4: "It’s getting late. In the distance, you see an old mansion."
S1_5: "What do you do? Visit the house. Call Triple A. Hitch a ride."
S2: "You walk towards the house and knock on the large wooden door."  
S2_1: "There is no response. You push the door open and to your surprise, it is unlocked. You enter the lobby of the house."
S3: "Looks like there is no service."
S4: "You wait for a while but no one passes by."
S4_2: "What do you do? Visit the house. Call Triple A. Keep waiting."
S5: "You wait some more, but no one is here."
S5_2: "What do you do? Visit the house. Keep waiting."
S5_3: "Still no one, it’s getting late."
S5_4: "What do you do? Visit the house. Keep waiting."
S5_5: "Finally, you see a car in the distance."
S5_6: "You wave at it but it doesn’t stop."
S5_7: "What do you do? Visit the house. Keep waiting."
S5_8: "It’s now nighttime, it’s unlikely that any cars will pass at this point."
S5_7: "What do you do? Visit the house. Keep waiting."
S5_8: "You wait, wait, wait and wait some more, and finally, someone drives by and picks you up, taking you home. 
By sheer willpower and determination, you somehow find yourself out of this problem.
The next day, you get your car towed. Your weekend is ruined but at least you are safe."

// Lobby
L1: "You enter the lobby of the house. It is darkly lit and dusty, and full of old paintings on the walls. 
You notice three different rooms. The bedroom, the bathroom and the kitchen."
L1_2: "What do you do? Enter the bedroom. Enter the bathroom. Enter the kitchen. Leave the house."

// Leave the house
LV: "You try to leave the house. To your dismay, the door is shut and locked behind you!"
LV_2: "The keyhole is embossed with a unique snake pattern. It seems like you need a key to leave."
LV2: "With the key in your hand you open the large wooden doors. You push hard and the doors creak to an open. Finally, you've escaped!"

// Bedroom
B1: "You enter the bedroom."
B1_2: "Suddenly, the television turns on."
B1_3: "What do you do? Turn the television off. Watch the television."
B2: "You turn the television off."
B2_2: "To your surprise, it comes back on!"
// reuse B2_2 / B1_3 for looping
B3: "You grip your hammer with your right hand."
B3_2: "What do you do? Smash the TV. Do nothing."
B4: "You smash the TV with all your strength. It shatters and everything becomes quiet."
B4_2: "What do you do next? Search the drawers. Look under the bed."
// look under bed refer B7-B9
B5: "You find a note. It tells you to look under the right side of the bed."
B6: "You choose to watch the television."
B7: "Which side do you look under? Left side. Right side."
B8: "You check the left side of the bed."
B9: "You check the right side of the bed."
B9_2: "You find a golden key! it must open a secret room somewhere."

// Basement
BS1: "You faint."
BS1_2: "You wake up in a cold room. It is too dark to see. It seems to be the basement. There is a door behind you."
BS1_3: "What do you do? Leave through the door. Crawl through the floor. Walk by using the walls as a guide."
BS2: "The door is locked. It seems like you need a key to open it."
BS3: "You crawl around the room until you find a desk with two drawers."
// move to BS5_2
BS4: "You decided to use the walls as guidance to walk around the room."
// BAD ENDING
BS5: "You grip your flashlight in your back pocket. You turn it on, and find a drawer. You walk towards the desk with 2 drawers. "
BS5_2: "Which do you open? Open the left drawer. Open the right drawer."
BS6: "You find a key in the drawer. You quickly rush back to the door and exit using the key. You find yourself back in the lobby."
// BS7 left drawer jumpscare, then move to right drawer
BS7: "You decide to check the right drawer."

// Kitchen
